"forecast_date","store_id","sku_id","predicted_units","model_version","run_id"
"2026-01-01","ST001","SKU00002","2.9617","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-02","ST001","SKU00002","2.9631","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-03","ST001","SKU00002","3.753","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-04","ST001","SKU00002","3.7879","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-05","ST001","SKU00002","3.3229","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-06","ST001","SKU00002","3.3081","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-07","ST001","SKU00002","3.2956","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-08","ST001","SKU00002","3.2991","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-09","ST001","SKU00002","3.3626","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-10","ST001","SKU00002","3.5525","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-11","ST001","SKU00002","3.5288","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-12","ST001","SKU00002","3.3376","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-13","ST001","SKU00002","3.3335","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-14","ST001","SKU00002","3.3326","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-15","ST001","SKU00002","3.349","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-16","ST001","SKU00002","3.3721","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-17","ST001","SKU00002","3.5049","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-18","ST001","SKU00002","3.5037","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-19","ST001","SKU00002","3.3466","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-20","ST001","SKU00002","3.3417","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-21","ST001","SKU00002","3.3384","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-22","ST001","SKU00002","3.3504","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-23","ST001","SKU00002","3.3666","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-24","ST001","SKU00002","3.497","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-25","ST001","SKU00002","3.5016","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-26","ST001","SKU00002","3.3479","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-27","ST001","SKU00002","3.3419","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-28","ST001","SKU00002","3.3374","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-29","ST001","SKU00002","3.3485","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-30","ST001","SKU00002","3.3642","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
"2026-01-01","ST001","SKU00295","2.9617","baseline_v1_rolling_mean_dow","fr_20260408T073058Z_27c8bf41"
