"alert_id","event_id","event_type","date","store_id","sku_id","event_risk","kpi_signal","forecast_signal","composite_risk_score","severity","recommended_action","event_ts","emitted_ts","event_to_alert_lag_seconds"
"AL000000000001","EV000000000001","reorder_trigger","2025-01-01","ST001","SKU00373","0.78","0.051","0.0987","0.275","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:40:00","2025-01-01T14:41:21","81"
"AL000000000002","EV000000000002","reorder_trigger","2025-01-01","ST001","SKU00434","0.78","0.051","0.0681","0.2689","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:06:00","2025-01-01T14:07:34","94"
"AL000000000003","EV000000000003","overstock_risk","2025-01-01","ST001","SKU00090","0.64","0.051","0.0426","0.3438","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:22:00","2025-01-01T19:22:05","5"
"AL000000000004","EV000000000004","reorder_trigger","2025-01-01","ST001","SKU00481","0.78","0.051","0.0685","0.269","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:22:31","91"
"AL000000000005","EV000000000005","reorder_trigger","2025-01-01","ST001","SKU00051","0.78","0.051","0.0747","0.2702","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:13:00","2025-01-01T14:14:21","81"
"AL000000000006","EV000000000006","reorder_trigger","2025-01-01","ST001","SKU00040","0.78","0.051","0.0537","0.266","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:01:00","2025-01-01T14:02:06","66"
"AL000000000007","EV000000000007","stockout_risk","2025-01-01","ST001","SKU00040","0.91","0.051","0.0537","0.631","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:05:00","2025-01-01T18:05:20","20"
"AL000000000008","EV000000000008","reorder_trigger","2025-01-01","ST001","SKU00504","0.78","0.051","0.0808","0.2715","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:22:12","72"
"AL000000000009","EV000000000009","overstock_risk","2025-01-01","ST001","SKU00596","0.64","0.051","0.0544","0.3462","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:16:00","2025-01-01T19:16:59","59"
"AL000000000010","EV000000000010","reorder_trigger","2025-01-01","ST001","SKU00446","0.78","0.051","0.0401","0.2633","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:40:00","2025-01-01T14:40:50","50"
"AL000000000011","EV000000000011","reorder_trigger","2025-01-01","ST001","SKU00490","0.78","0.051","0.0329","0.2619","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:04:00","2025-01-01T14:04:17","17"
"AL000000000012","EV000000000012","reorder_trigger","2025-01-01","ST001","SKU00521","0.78","0.051","0.0215","0.2596","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:44:00","2025-01-01T14:45:48","108"
"AL000000000013","EV000000000013","reorder_trigger","2025-01-01","ST001","SKU00300","0.78","0.051","0.0883","0.273","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:30:00","2025-01-01T14:30:26","26"
"AL000000000014","EV000000000014","stockout_risk","2025-01-01","ST001","SKU00300","0.91","0.051","0.0883","0.638","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:26:00","2025-01-01T18:26:50","50"
"AL000000000015","EV000000000015","reorder_trigger","2025-01-01","ST001","SKU00158","0.78","0.051","0.0226","0.2598","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:49:00","2025-01-01T14:49:12","12"
"AL000000000016","EV000000000016","reorder_trigger","2025-01-01","ST001","SKU00387","0.78","0.051","0.0663","0.2686","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:28:00","2025-01-01T14:28:05","5"
"AL000000000017","EV000000000017","reorder_trigger","2025-01-01","ST001","SKU00559","0.78","0.051","0.03","0.2613","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:44:42","102"
"AL000000000018","EV000000000018","overstock_risk","2025-01-01","ST001","SKU00351","0.64","0.051","0.0135","0.338","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:07:00","2025-01-01T19:07:10","10"
